nazwa;nazwa ogólna ;kolor;Cena brutto:;szerokosc profilu1;szerokosc profilu2;width;height
KLAGEM FOOT2;Foot 2;9005;107 ;;;;
KLAGEM FOOT2;Foot 2;bronze;112 ;;;;
KLAGEM FOOT2;Foot 2;gold;112 ;;;;
UCHWYT STAŁY;;;75 ;;;;
KK_003_lacznik 3;Kolano 3;9005;90 ;;;;
KK_004_lacznik 4;Kolano 4;9005;92 ;;;;
KK_005_lacznik 5;Kolano 5;9005;94 ;;;;
KP_009_profil 65;Profil 65;9005;39 ;;;;
KP_001_profil 79;Profil 79;9005;39 ;;;;
KP_002_profil 154;Profil 154;9005;39 ;;;;
KP_003_profil 229;Profil 229;9005;42 ;;;;
KP_004_profil 329;Profil 329;9005;45 ;;;;
KP_005_profil 374;Profil 374;9005;48 ;;;;
KP_010_profil 420;Profil 420;9005;49 ;;;;
KP_006_profil 479;Profil 479;9005;54 ;;;;
KP_007_profil 523;Profil 523;9005;50 ;;;;
KP_008_profil 729;Profil 729;9005;51 ;;;;
KK_003_lacznik 3;Kolano 3;bronze;94 ;;;;
KK_004_lacznik 4;Kolano 4;bronze;96 ;;;;
KK_005_lacznik 5;Kolano 5;bronze;98 ;;;;
KP_009_profil 65;Profil 65;bronze;43 ;;;;
KP_001_profil 79;Profil 79;bronze;43 ;;;;
KP_002_profil 154;Profil 154;bronze;43 ;;;;
KP_003_profil 229;Profil 229;bronze;47 ;;;;
KP_004_profil 329;Profil 329;bronze;50 ;;;;
KP_005_profil 374;Profil 374;bronze;52 ;;;;
KP_010_profil 420;Profil 420;bronze;53 ;;;;
KP_006_profil 479;Profil 479;bronze;58 ;;;;
KP_007_profil 523;Profil 523;bronze;55 ;;;;
KP_008_profil 729;Profil 729;bronze;56 ;;;;
KK_003_lacznik 3;Kolano 3;gold;94 ;;;;
KK_004_lacznik 4;Kolano 4;gold;96 ;;;;
KK_005_lacznik 5;Kolano 5;gold;98 ;;;;
KP_009_profil 65;Profil 65;gold;43 ;;;;
KP_001_profil 79;Profil 79;gold;43 ;;;;
KP_002_profil 154;Profil 154;gold;43 ;;;;
KP_003_profil 229;Profil 229;gold;47 ;;;;
KP_004_profil 329;Profil 329;gold;50 ;;;;
KP_005_profil 374;Profil 374;gold;52 ;;;;
KP_010_profil 420;Profil 420;gold;53 ;;;;
KP_006_profil 479;Profil 479;gold;58 ;;;;
KP_007_profil 523;Profil 523;gold;55 ;;;;
KP_008_profil 729;Profil 729;gold;56 ;229;79;;
KSP_001_10x258x108;ściana pionowa;PC mat;99 ;229;154;;
KSP_002_10x258x183;ściana pionowa;PC mat;132 ;229;229;;
KSP_003_10x258x258;ściana pionowa;PC mat;164 ;229;329;;
KSP_004_10x258x358;ściana pionowa;PC mat;206 ;229;374;;
KSP_005_10x258x403;ściana pionowa;PC mat;226 ;229;420;;
KSP_006_10x258x449;ściana pionowa;PC mat;246 ;329;79;;
KSP_007_10x358x108;ściana pionowa;PC mat;124 ;329;154;;
KSP_008_10x358x183;ściana pionowa;PC mat;165 ;329;329;;
KSP_009_10x358x358;ściana pionowa;PC mat;262 ;329;374;;
KSP_010_10x358x403;ściana pionowa;PC mat;287 ;329;420;;
KSP_011_10x358x449;ściana pionowa;PC mat;312 ;374;79;;
KSP_012_10x403x108;ściana pionowa;PC mat;137 ;374;154;;
KSP_013_10x403x183;ściana pionowa;PC mat;182 ;374;329;;
KSP_014_10x403x358;ściana pionowa;PC mat;287 ;374;374;;
KSP_015_10x403x403;ściana pionowa;PC mat;314 ;374;420;;
KSP_016_10x403x449;ściana pionowa;PC mat;340 ;420;79;;
KSP_017_10x449x108;ściana pionowa;PC mat;148 ;420;154;;
KSP_018_10x449x183;ściana pionowa;PC mat;198 ;420;420;;
KSP_019_10x449x449;ściana pionowa;PC mat;371 ;479;79;;
KSP_020_10x508x108;ściana pionowa;PC mat;164 ;479;154;;
KSP_021_10x508x183;ściana pionowa;PC mat;217 ;79;729;;
KSP_022_10x108x758;ściana pionowa;PC mat;228 ;154;729;;
KSP_023_10x183x758;ściana pionowa;PC mat;303 ;229;729;;
KSP_024_10x258x758;ściana pionowa;PC mat;379 ;329;729;;
KSP_025_10x358x758;ściana pionowa;PC mat;481 ;374;729;;
KSP_026_10x403x758;ściana pionowa;PC mat;526 ;420;729;;
KSP_028_10x258x386;ściana pionowa;PC mat;219 ;329;523;;
KSP_029_10x358x552;ściana pionowa;PC mat;367 ;229;523;;
KSP_033_10x108x108;ściana pionowa;PC mat;62 ;229;479;;
KSP_040_10x258x508;ściana pionowa;PC mat;357 ;79;154;;
KSP_041_10x79x154;ściana pionowa;PC mat;46 ;79;523;;
KSP_042_10x79x523;ściana pionowa;PC mat;122 ;154;154;;
KSP_043_10x154x154;ściana pionowa;PC mat;76 ;329;479;;
KSP_044_10x329x479;ściana pionowa;PC mat;426 ;420;479;;
KSP_045_10x420x479;ściana pionowa;PC mat;540 ;420;523;;
